location,threshold_hours,reserve_fraction,forecast_error_std,coldstart_count,lost_production_hours,methane_output_kwh,bess_deep_discharge,curtailed_kwh,reactor_warm_fraction_pct,reserve_active_hours
morocco,24,0.4,0.1,0,0,487554.97979477816,0,0.0,46.57534246575342,83
morocco,36,0.1,0.1,0,0,488100.63123231527,0,0.0,46.57534246575342,8
morocco,36,0.15,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,18
morocco,36,0.2,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,26
morocco,36,0.25,0.1,0,0,487972.7191995461,0,0.0,46.57534246575342,38
morocco,36,0.3,0.1,0,0,487688.4216334581,0,0.0,46.57534246575342,56
morocco,36,0.4,0.1,0,0,487554.97979477816,0,0.0,46.57534246575342,83
morocco,48,0.1,0.1,0,0,488100.63123231527,0,0.0,46.57534246575342,8
morocco,48,0.15,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,18
morocco,48,0.2,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,26
morocco,48,0.25,0.1,0,0,487972.7191995461,0,0.0,46.57534246575342,38
morocco,48,0.3,0.1,0,0,487688.4216334581,0,0.0,46.57534246575342,56
morocco,48,0.4,0.1,0,0,487554.97979477816,0,0.0,46.57534246575342,83
morocco,72,0.1,0.1,0,0,488100.63123231527,0,0.0,46.57534246575342,8
morocco,72,0.15,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,18
morocco,72,0.2,0.1,0,0,488049.2258899243,0,0.0,46.57534246575342,26
morocco,72,0.25,0.1,0,0,487972.7191995461,0,0.0,46.57534246575342,38
morocco,72,0.3,0.1,0,0,487688.4216334581,0,0.0,46.57534246575342,56
morocco,72,0.4,0.1,0,0,487554.97979477816,0,0.0,46.57534246575342,83
morocco,12,0.1,0.2,0,0,488040.04524318245,0,0.0,46.57534246575342,6
morocco,12,0.15,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,18
morocco,12,0.2,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,25
morocco,12,0.25,0.2,0,0,487803.7393765323,0,0.0,46.57534246575342,40
morocco,12,0.3,0.2,0,0,487579.3925859645,0,0.0,46.57534246575342,50
morocco,12,0.4,0.2,0,0,487358.1347215983,0,0.0,46.57534246575342,78
morocco,24,0.1,0.2,0,0,488040.04524318245,0,0.0,46.57534246575342,6
morocco,24,0.15,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,18
morocco,24,0.2,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,25
morocco,24,0.25,0.2,0,0,487803.7393765323,0,0.0,46.57534246575342,40
morocco,24,0.3,0.2,0,0,487579.3925859645,0,0.0,46.57534246575342,50
morocco,24,0.4,0.2,0,0,487358.1347215983,0,0.0,46.57534246575342,79
morocco,36,0.1,0.2,0,0,488040.04524318245,0,0.0,46.57534246575342,6
morocco,36,0.15,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,18
morocco,36,0.2,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,25
morocco,36,0.25,0.2,0,0,487803.7393765323,0,0.0,46.57534246575342,40
morocco,36,0.3,0.2,0,0,487579.3925859645,0,0.0,46.57534246575342,50
morocco,36,0.4,0.2,0,0,487358.1347215983,0,0.0,46.57534246575342,79
morocco,48,0.1,0.2,0,0,488040.04524318245,0,0.0,46.57534246575342,6
morocco,48,0.15,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,18
morocco,48,0.2,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,25
morocco,48,0.25,0.2,0,0,487803.7393765323,0,0.0,46.57534246575342,40
morocco,48,0.3,0.2,0,0,487579.3925859645,0,0.0,46.57534246575342,50
morocco,48,0.4,0.2,0,0,487358.1347215983,0,0.0,46.57534246575342,79
morocco,72,0.1,0.2,0,0,488040.04524318245,0,0.0,46.57534246575342,6
morocco,72,0.15,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,18
morocco,72,0.2,0.2,0,0,487954.5483592163,0,0.0,46.57534246575342,25
morocco,72,0.25,0.2,0,0,487803.7393765323,0,0.0,46.57534246575342,40
morocco,72,0.3,0.2,0,0,487579.3925859645,0,0.0,46.57534246575342,50
morocco,72,0.4,0.2,0,0,487358.1347215983,0,0.0,46.57534246575342,79
morocco,12,0.1,0.4,0,0,488005.95370160736,0,0.0,46.57534246575342,4
morocco,12,0.15,0.4,0,0,487929.4470112291,0,0.0,46.57534246575342,7
morocco,12,0.2,0.4,0,0,487778.6380285451,0,0.0,46.57534246575342,14
morocco,12,0.25,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,19
morocco,12,0.3,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,32
morocco,12,0.4,0.4,0,0,487053.6459165337,0,0.0,46.57534246575342,59
morocco,24,0.1,0.4,0,0,488005.95370160736,0,0.0,46.57534246575342,4
morocco,24,0.15,0.4,0,0,487929.4470112291,0,0.0,46.57534246575342,7
morocco,24,0.2,0.4,0,0,487778.6380285451,0,0.0,46.57534246575342,14
morocco,24,0.25,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,19
morocco,24,0.3,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,32
morocco,24,0.4,0.4,0,0,487053.6459165337,0,0.0,46.57534246575342,59
